FID,region,cut,region_1,ine,comuna,provincia,shape_leng,cont,shape_le_1,shape_area,Shape__Area,Shape__Length
3024,12,12103,XII,591,RIO VERDE,MAGALLANES,564.737286082,0,564.723786127,22183.5364957,61871.87109375,942.944865233351
3025,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1065.63690491,0,1065.60849411,49023.313642,136385.0078125,1777.95888185354
3026,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,837.748423487,0,837.727576624,43987.6752333,122375.26171875,1396.67260436592
3027,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1041.20189778,0,1041.17513292,51617.0810205,143739.9375,1736.34651243176
3028,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2047.71517088,0,2047.66231494,183957.494677,511905.48046875,3416.42933002458
3029,12,12103,XII,591,RIO VERDE,MAGALLANES,1344.98489941,0,1344.95106377,113882.640296,317798.2734375,2246.39067625585
3030,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,996.505423796,0,996.479992659,48285.5520705,134326.7109375,1662.24251175504
3031,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1020.97210577,0,1020.94589305,56556.1820698,157383.01953125,1702.69293984857
3032,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,874.109542719,0,874.089872033,53701.6441556,149411.24609375,1458.06897956573
3033,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,920.501167989,0,920.479075289,64009.791993,178146.82421875,1535.58011746221
3034,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2820.53132587,0,2820.4618031,355102.048364,989285.16796875,4705.99139486792
3035,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1587.89776773,0,1587.85925614,89611.3261908,249339.6796875,2646.5082809786
3036,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,529.923899922,0,529.911823653,18713.4004498,52139.0703125,884.178525527719
3037,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1161.88158655,0,1161.85383532,59207.5350123,164763.08203125,1937.64851735202
3038,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1298.79247218,0,1298.75942702,73539.3520212,204643.875,2165.48595538603
3039,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1093.91012937,0,1093.88207548,79332.5072448,220790.06640625,1824.74850917845
3040,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,499.677410024,0,499.666344836,16653.9374554,46363.04296875,833.444314461698
3041,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1385.32955604,0,1385.294566,110441.047734,307517.5390625,2311.14747482565
3042,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,623.56310782,0,623.549621147,27196.3378812,75717.1171875,1040.48211085324
3043,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,899.328647457,0,899.306761818,47320.4878635,132316.7109375,1504.7453103804
3044,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,688.455943828,0,688.437427744,28576.6760759,79549.484375,1148.16334858877
3045,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,748.6182706,0,748.599181235,35902.140009,99993.58984375,1248.91040067536
3046,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,735.384026859,0,735.366019133,33696.6555847,93868.640625,1227.30700673518
3047,12,12103,XII,591,RIO VERDE,MAGALLANES,9981.44377414,0,9981.19207644,5404547.02736,15109063.7890625,16690.3677006249
3048,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,58740.7567849,0,58739.2718291,69872795.1793,194867568.953125,98096.6418529158
3049,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,589.511540169,0,589.500339373,24486.9817618,68236.2890625,983.922449756171
3050,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,560.856237219,0,560.842616725,21992.6246403,61287.1640625,936.1456636124
3051,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,662.481504473,0,662.463607061,26821.0102671,74816.95703125,1106.36619389129
3052,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2178.14747485,0,2178.09062566,237037.933184,660682.46875,3636.0616399927
3053,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1923.30620712,0,1923.2574333,186504.956427,519887.765625,3210.51464911103
3054,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1071.72191907,0,1071.69563784,77465.3021443,215884.66015625,1788.30962231998
3055,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,866.384918518,0,866.362779221,54954.9136464,153179.703125,1446.31490811647
3056,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,555.025368833,0,555.011159632,21347.8415509,59529.609375,927.051969183324
3057,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,12231.5870059,0,12231.2774473,3871243.0544,10797651.5078125,20422.9092977621
3058,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,3032.83219343,0,3032.75317736,259585.162586,723958.09375,5063.95490732337
3059,12,12103,XII,591,RIO VERDE,MAGALLANES,3722.86211507,0,3722.76822606,710386.058347,1984677.9609375,6223.89481707446
3060,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1332.6788292,0,1332.64718401,59870.1151438,166969.078125,2225.85002596582
3061,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,726.959742101,0,726.939461247,37004.2458901,103180.5234375,1213.73526524835
3062,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,3461.91696428,0,3461.82518399,327676.244757,914153.16796875,5780.33216932904
3063,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,459.824298982,0,459.813596916,14328.4680981,39967.92578125,767.973197999373
3064,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,684.558655749,0,684.544245215,32545.0976141,90756.16015625,1143.31694633881
3065,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2738.97025222,0,2738.89687072,298816.086039,833755.51953125,4574.47290165314
3066,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,716.336023046,0,716.31797971,31455.6365707,87758.546875,1196.68052434146
3067,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,830.55188649,0,830.530344859,46905.8840988,130853.99609375,1386.84059331019
3068,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,705.582677386,0,705.565749361,32966.484698,92105.91015625,1179.53698572861
3069,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1217.70949363,0,1217.67861182,91074.7506471,254278.68359375,2035.4648874823
3070,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,956.921380885,0,956.894905407,63189.383537,176357.109375,1598.56698012483
3071,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2823.77643125,0,2823.70580368,503709.748774,1405689.23046875,4716.77816328832
3072,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,18776.0661306,0,18775.6012322,9392195.97618,26191540.3007813,31352.9808998198
3073,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1190.28036663,0,1190.24872084,104876.707724,292879.4921875,1988.80226735675
3074,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,3891.48693551,0,3891.39090192,485042.053266,1354369.49609375,6504.06313384147
3075,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2864.88309185,0,2864.81273547,317303.562246,886116.5390625,4789.20915355636
3076,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1970.92841964,0,1970.87759291,273948.185944,767763.16015625,3299.92962682924
3077,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1526.20475925,0,1526.16855654,95308.3463131,266137.80859375,2550.84690668115
3078,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,3279.31483751,0,3279.23417897,335581.830566,937194.26953125,5482.6142308236
3079,12,12103,XII,591,RIO VERDE,MAGALLANES,1250.30444699,0,1250.27238257,102244.584223,286217.203125,2091.8779679796
3080,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,813.693524487,0,813.672449008,45225.9393423,126296.77734375,1359.59292666809
3081,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,6219.38608324,0,6219.22940059,1320259.70607,3690555.51953125,10397.4244638827
3082,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1927.80735347,0,1927.75787923,181141.634403,507457.734375,3227.51017328101
3083,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,630.978768745,0,630.96157782,27364.6583703,76490.73828125,1055.15311955238
3084,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1401.51028522,0,1401.47245726,137902.307324,386416.02734375,2346.56512644883
3085,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2153.3632701,0,2153.30885309,258425.507039,722166.1328125,3600.2117812851
3086,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1913.67046324,0,1913.62246959,200635.239406,561065.4296875,3199.5954714716
3087,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,5452.89774113,0,5452.76206112,1203065.93566,3364743.16796875,9118.5662111405
3088,12,12103,XII,591,RIO VERDE,MAGALLANES,3866.52407995,0,3866.42761499,641673.47984,1796970.2265625,6468.77803056831
3089,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,31769.7192012,0,31768.9012091,16402320.7511,45863857.9140625,53126.9688456697
3090,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1262.16674519,0,1262.13648992,59383.6884117,166144.0234375,2110.19918439847
3091,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1268.39768161,0,1268.36465538,75423.7319475,211441.89453125,2125.27883333731
3092,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,9155.9154915,0,9155.68636614,1921567.74103,5376160.7734375,15306.4867005259
3093,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1150.05295211,0,1150.02651285,70657.5194738,197654.53515625,1922.65345912058
3094,12,12103,XII,591,RIO VERDE,MAGALLANES,804.942435003,0,804.92099364,43238.7392879,121100.79296875,1347.39874061282
3095,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1267.1568542,0,1267.12536227,93626.1372443,261855.83203125,2119.1572174866
3096,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,3953.81964023,0,3953.72114864,822703.234596,2304022.08203125,6615.77903010108
